token,matched_cause,icd_code,match_method,method,notes
Acute on chronic blood loss anemia,,,none,,
Acute on chronic clinical systolic heart failure,,,none,,
Acute on chronic combined severe systolic (LVEF 10-15%) and diastolic (congestive) heart failure (CMS-hcc),,,none,,
Acute on chronic combined systolic (congestive) and diastolic (congestive) heart failure,,,none,,
Acute on chronic combined systolic and diastolic CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Acute on chronic combined systolic and diastolic congestive heart failure,,,none,,
Acute on chronic combined systolic and diastolic heart failure,,,none,,
Acute on chronic congestive heart failure,,,none,,
Acute on chronic congestive heart failure with left ventricular diastolic dysfunction,,,none,,
Acute on chronic congestive heart failure with mid-range EF,,,none,,
Acute on chronic diastolic (congestive) heart failure,,,none,,
Acute on chronic diastolic CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Acute on chronic diastolic congestive heart failure,,,none,,
Acute on chronic diastolic heart failure,,,none,,
Acute on chronic diastolic HF (heart failure),,,none,,
Acute on chronic heart failure,,,none,,
Acute on chronic heart failure with preserved ejection fraction,,,none,,
Acute on chronic heart failure with preserved ejection fraction (HFpEF,,,none,,
Acute on chronic heart failure with preserved ejection fraction (HFpEF),,,none,,
Acute on chronic HFrEF (heart failure with reduced ejection fraction),,,none,,
Acute on chronic intracranial subdural hematoma,,,none,,
Acute on chronic kidney injury (CMS-hcc),Chronic Kidney,N18,cause_name,,
Acute on chronic normocytic anemia,,,none,,
Acute on chronic pancreatitis,,,none,,
Acute on Chronic Recurrent Multifocal pneumonia,,,none,,
Acute on chronic renal failure,,,none,,
Acute on chronic renal insufficiency,,,none,,
Acute on chronic respiratory failure with hypoxia,Respiratory Failure,J96.1,cause_name,,
Acute on chronic respiratory failure with hypoxia and hypercapnia,Respiratory Failure,J96.1,cause_name,,
Acute on chronic stage 4 chronic kidney disease,Chronic Kidney,N18,cause_name,,
acute on Chronic systolic (congestive) heart failure,,,none,,
Acute on chronic systolic CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Acute on chronic systolic congestive heart failure,,,none,,
Acute on chronic systolic heart failure,,,none,,
Acute on chronic transaminitis,,,none,,
Acute osteomyelitis,,,none,,
Acute osteomyelitis of right ankle or foot,,,none,,
Acute osteomyelitis of right calcaneus,,,none,,
Acute osteomyelitis of thoracic spine,,,none,,
Acute otitis externa,,,none,,
Acute otitis media,,,none,,
Acute pain of both hips,,,none,,
Acute pain of both knees,,,none,,
Acute pain of left knee,,,none,,
Acute pain of left lower extremity,,,none,,
Acute pain of left shoulder,,,none,,
Acute pain of right knee,,,none,,
Acute pain of right lower extremity,,,none,,
Acute pain of right shoulder,,,none,,
Acute pancreatitis,,,none,,
Acute pancreatitis (HHS-HCC),,,none,,
Acute pancreatitis after endoscopic retrograde cholangiopancreatography (ERCP) (HHS-HCC),,,none,,
Acute pancreatitis without necrosis or infection,,,none,,
Acute pericarditis (HHS-HCC),,,none,,
Acute pharyngitis,,,none,,
Acute pharyngitis due to other specified organisms,,,none,,
Acute pneumonia,,,none,,
Acute post op atrial fibrillation,,,none,,
Acute post-operative pain,,,none,,
Acute postoperative a...,,,none,,
Acute postoperative anemia due to expected blood loss,,,none,,
Acute postoperative anemia due to greater than expected blood loss,,,none,,
Acute postoperative pain,,,none,,
Acute proctocolitis,,,none,,
Acute prostatitis,,,none,,
Acute prostatitis?,,,none,,
Acute pulmonary edema,,,none,,
Acute pulmonary edema with congestive heart failure,,,none,,
Acute pulmonary embolism,,,none,,
Acute pulmonary embolism with acute cor pulmonale,,,none,,
Acute pulmonary embolism without acute cor pulmonale,,,none,,
Acute pyelonephritis,,,none,,
Acute recurrent frontal sinusitis,,,none,,
Acute recurrent maxillary sinusitis,,,none,,
Acute recurrent pancreatitis (HHS-HCC),,,none,,
Acute ren...,,,none,,
Acute renal failure,,,none,,
Acute renal failure (ARF),,,none,,
Acute renal failure superimposed on stage 3a chronic kidney disease,Chronic Kidney,N18,cause_name,,
Acute renal failure superimposed on stage 3a chronic kidney disease (CMS-HCC),Chronic Kidney,N18,cause_name,,
Acute renal failure superimposed on stage 3b chronic kidney disease (CMS-HCC),Chronic Kidney,N18,cause_name,,
Acute renal failure superimposed on stage III chronic kidney disease,Chronic Kidney,N18,cause_name,,
Acute renal failure with tubular necrosis,,,none,,
Acute respiratory disease due to COVID-19 virus,,,none,,
Acute respiratory distress,,,none,,
Acute respiratory distress secondary to acute on chronic congestive heart failure versus COPD exacerbation versus symptomatic AFib RVR,COPD,J44.9,cause_name,,
Acute respiratory failure,Respiratory Failure,J96.1,cause_name,,
Acute respiratory failure with hypoxia,Respiratory Failure,J96.1,cause_name,,
Acute respiratory failure with hypoxia and hypercapnia,Respiratory Failure,J96.1,cause_name,,
Acute retention of urine,,,none,,
Acute right ankle pain,,,none,,
Acute right flank pain,,,none,,
Acute right MCA stroke,,,none,,
Acute right-sided congestive heart failure,,,none,,
Acute right-sided heart failure,,,none,,
Acute right-sided low back pain,,,none,,
Acute right-sided low back pain with right-sided sciatica,,,none,,
Acute right-sided low back pain without sciatica,,,none,,
Acute right-sided thoracic back pain,,,none,,
Acute saddle pulmonary embolism,,,none,,
Acute saddle pulmonary embolism with acute cor pulmonale,,,none,,
Acute saddle pulmonary embolism without acute cor pulmonale,,,none,,
Acute serous otitis media of right ear,,,none,,
Acute sinusitis,,,none,,
Acute ST elevation myocardial infarction (STEMI) due to occlusion of left anterior descending (LAD) coronary artery,,,none,,
Acute ST elevation myocardial infarction (STEMI) of inferior wall,,,none,,
Acute stress reaction with predominately emotional disturbance,,,none,,
Acute stroke due to ischemia,,,none,,
Acute suppurative otitis media with spontaneous rupture of ear drum,,,none,,
Acute suprapubic pain,,,none,,
Acute systolic (congestive) heart failure,,,none,,
Acute systolic CHF (congestive heart failure),CHF (Congestive Heart Failure),I50,cause_name,,
Acute systolic congestive heart failure,,,none,,
Acute systolic heart failure,,,none,,
Acute tetraplegia,,,none,,
Acute thromboembolism of deep veins of lower extremity,,,none,,
Acute thyrotoxicosis,,,none,,
Acute tonsillitis,,,none,,
Acute tonsillitis due to other specified organisms,,,none,,
Acute torn meniscus of knee,,,none,,
Acute tubular injury of transplanted kidney (HHS-HCC),,,none,,
Acute upper back and shoulder pain,,,none,,
Acute upper GI bleed,,,none,,
Acute upper respiratory infection,,,none,,
Acute URI,,,none,,
Acute urinary retention,,,none,,
Acute urinary tract infection,,,none,,
Acute urinary tract infection with hematuria,,,none,,
Acute UTI,,,none,,
Acute vaginitis,,,none,,
Acute venous embolism and thrombosis of deep vessels of distal lower extremity,,,none,,
Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,,,none,,
acute viral,,,none,,
Acute viral pericarditis (HHS-HCC),,,none,,
Acute worsening of stage 4 chronic kidney disease,Chronic Kidney,N18,cause_name,,
Acute-on-chronic kidney injury,Chronic Kidney,N18,cause_name,,
Acute-on-chronic respiratory failure,Respiratory Failure,J96.1,cause_name,,
ADD (attention deficit disorder),,,none,,
Adenocarcinoma,,,none,,
Adenocarcinoma of colon,,,none,,
Adenocarcinoma of esophagus,,,none,,
Adenocarcinoma of prostate,,,none,,
Adenocarcinoma of stomach,,,none,,
Adenoma of colon,,,none,,
Adenoma of rectum,,,none,,
adenomatous,,,none,,
Adenomatous polyp,,,none,,
Adenomatous polyp of ascending colon,,,none,,
Adenomatous polyp of ascending colon 4,,,none,,
Adenomatous polyp of ascending colon x1,,,none,,
Adenomatous polyp of cecum,,,none,,
Adenomatous polyp of colon,,,none,,
Adenomatous polyp of sigmoid colon,,,none,,
Adenomatous polyp of sigmoid colon in 2014,,,none,,
Adenomatous polyp of transverse colon,,,none,,
Adenomatous polyp of transverse colon x1,,,none,,
ADHD,,,none,,
ADHD (attention deficit hyperactivity disorder),,,none,,
Adhesion of tendon,,,none,,
Adhesive capsulitis of both shoulders,,,none,,
Adhesive capsulitis of left shoulder,,,none,,
Adhesive capsulitis of right ankle,,,none,,
Adhesive capsulitis of right shoulder,,,none,,
Adie's pupil,,,none,,
Adiposity,,,none,,
Adjacent segment disease at C3-4 with grade 1 anterolisthesis,,,none,,
Adjustment disorder,,,none,,
Adjustment disorder with anxiety,,,none,,
Adjustment disorder with anxious mood,,,none,,
Adjustment disorder with depressed mood,,,none,,
Adjustment disorder with mixed anxiety and depressed mood,,,none,,
Adjustment reaction with anxiety and depression,,,none,,
Admitted for acute congestive heart failure,,,none,,
Adnexal mass,,,none,,
Adrenal abnormality (HHS-HCC),,,none,,
Adrenal adenoma,,,none,,
Adrenal cortical hypofunction (HHS-HCC),,,none,,
Adrenal gland disorder (HHS-HCC),,,none,,
Adrenal hyperplasia (HHS-HCC),,,none,,
Adrenal insufficiency (HHS-HCC),,,none,,
Adrenal mass (HHS-HCC),,,none,,
Adrenal nodule (HHS-HCC),,,none,,
adu...,,,none,,
adult,,,none,,
adult (CMS-HCC),,,none,,
adult (HHS-HCC),,,none,,
Adult BMI 35.0-35.9 kg,,,none,,
Advance directive discussed with patient,,,none,,
Advance directive in chart,,,none,,
Advance Directives and Health Issues: ACP (advance care planning),,,none,,
Advance Directives and Health Issues: Advance care planning,,,none,,
Advance Directives and Health Issues: Advance directive discussed with patient,,,none,,
Advance Directives and Health Issues: Advance directive in chart,,,none,,
Advance Directives and Health Issues: Advanced care planning,,,none,,
Advance Directives and Health Issues: Advanced directives,,,none,,
Advance Directives and Health Issues: Advice given about COVID-19 virus infection,,,none,,
Advance Directives and Health Issues: At high risk for falls,,,none,,
Advance Directives and Health Issues: At high risk for injury related to fall,,,none,,
Advance Directives and Health Issues: At maximum risk for fall,,,none,,
Advance Directives and Health Issues: At risk for falling,,,none,,
Advance Directives and Health Issues: At risk for falls,,,none,,
Advance Directives and Health Issues: At risk for violence,,,none,,
Advance Directives and Health Issues: Awaiting organ transplant,,,none,,
Advance Directives and Health Issues: Chronic prescription benzodiazepine use,,,none,,
Advance Directives and Health Issues: Colon cancer screening declined,,,none,,
Advance Directives and Health Issues: Counseling regarding advance care planning and goals of care,,,none,,
Advance Directives and Health Issues: Counseling regarding goals of care,,,none,,
Advance Directives and Health Issues: Discussion about advance care planning held with family member,,,none,,
Advance Directives and Health Issues: DNAR (do not attempt resuscitation),,,none,,
Advance Directives and Health Issues: DNR (do not resuscitate),,,none,,
Advance Directives and Health Issues: DNR (do not resuscitate) discussion,,,none,,
Advance Directives and Health Issues: DNR no code (do not resuscitate),,,none,,
Advance Directives and Health Issues: Driving safety issue,,,none,,
Advance Directives and Health Issues: Educated about COVID-19 virus infection,,,none,,
Advance Directives and Health Issues: Empiric antibiotic therapy,,,none,,
Advance Directives and Health Issues: Encounter for long-term current use of high risk medication,,,none,,
Advance Directives and Health Issues: Encounter for palliative care in home,,,none,,
Advance Directives and Health Issues: Enrolled in chronic care management,,,none,,
Advance Directives and Health Issues: Failure of outpatient treatment,,,none,,
Advance Directives and Health Issues: Family history of sudden death,,,none,,
Advance Directives and Health Issues: Full code status,,,none,,
Advance Directives and Health Issues: Goals of care,,,none,,
Advance Directives and Health Issues: H,,,none,,
Advance Directives and Health Issues: High risk medication use,,,none,,
Advance Directives and Health Issues: History of fall,,,none,,
Advance Directives and Health Issues: History of falling,,,none,,
Advance Directives and Health Issues: History of marijuana use,,,none,,
Advance Directives and Health Issues: History of noncompliance with medical treatment,,,none,,
Advance Directives and Health Issues: History of recent fall,,,none,,
Advance Directives and Health Issues: History of surgery to other organs,,,none,,
Advance Directives and Health Issues: Hospice care patient,,,none,,
Advance Directives and Health Issues: Hospitalization or health care facility admission within last 6 months,,,none,,
Advance Directives and Health Issues: Infliximab (Remicade) long-term use,,,none,,
Advance Directives and Health Issues: Language barrier,,,none,,
Advance Directives and Health Issues: Long-term current use of benzodiazepine,,,none,,
Advance Directives and Health Issues: Long-term use of high-risk medication,,,none,,
Advance Directives and Health Issues: Long-term use of immunosuppressant medication,,,none,,
Advance Directives and Health Issues: Lung cancer screening declined by patient,,,none,,
Advance Directives and Health Issues: Mammogram declined,,,none,,
Advance Directives and Health Issues: Marijuana smoker,,,none,,
Advance Directives and Health Issues: Marijuana use,,,none,,
Advance Directives and Health Issues: Marijuana user,,,none,,
Advance Directives and Health Issues: Medical non-compliance,,,none,,
Advance Directives and Health Issues: Medically noncompliant,,,none,,
Advance Directives and Health Issues: Medication care plan discussed with patient,,,none,,
Advance Directives and Health Issues: Need for case management follow-up,,,none,,
Advance Directives and Health Issues: Non compliance with medical treatment,,,none,,
Advance Directives and Health Issues: Non-compliance,,,none,,
Advance Directives and Health Issues: Non-compliance with treatment,,,none,,
Advance Directives and Health Issues: Non-compliant patient,,,none,,
Advance Directives and Health Issues: Noncompliance,,,none,,
Advance Directives and Health Issues: Noncompliance with medication regimen,,,none,,
Advance Directives and Health Issues: Noncompliance with treatment regimen,,,none,,
Advance Directives and Health Issues: Other long term (current) drug therapy,,,none,,
Advance Directives and Health Issues: Other specified personal risk factors,,,none,,
Advance Directives and Health Issues: Other specified postprocedural states,,,none,,
Advance Directives and Health Issues: Palliative care encounter,,,none,,
Advance Directives and Health Issues: Palliative care patient,,,none,,
Advance Directives and Health Issues: Patient incapable of making informed decisions,,,none,,
Advance Directives and Health Issues: Patient is full code,,,none,,
Advance Directives and Health Issues: Personal history of fall,,,none,,
Advance Directives and Health Issues: Personal history of noncompliance with medical treatment,,,none,,
Advance Directives and Health Issues: Plaquenil Use,,,none,,
Advance Directives and Health Issues: Polypharmacy,,,none,,
Advance Directives and Health Issues: Poor compliance with medication,,,none,,
Advance Directives and Health Issues: Post-operative state,,,none,,
Advance Directives and Health Issues: Postoperative state,,,none,,
Advance Directives and Health Issues: Prior occupational exposure in workplace,,,none,,
Advance Directives and Health Issues: Refusal of Mammogram,,,none,,
Advance Directives and Health Issues: S,,,none,,
Advance Directives and Health Issues: Screening due,,,none,,
Advance Directives and Health Issues: Screening for hepatitis C declined,,,none,,
Advance Directives and Health Issues: Screening mammography declined,,,none,,
Advance Directives and Health Issues: Status post fall,,,none,,
Advance Directives and Health Issues: Tamoxifen Use,,,none,,
Advance Directives and Health Issues: Transition of care,,,none,,
Advance Directives and Health Issues: Unspecified problem related to medical facilities and other health care,,,none,,
Advance Directives and Health Issues: Willing to be an organ donor,,,none,,
advanced atrophic with subfoveal involvement,,,none,,
Advanced care planning,,,none,,
Advanced directives,,,none,,
Adverse effect of drug,,,none,,
Adverse reaction to food,,,none,,
AF (atrial fibrillation),,,none,,
AF (paroxysmal atrial fibrillation),,,none,,
Affective disorder,,,none,,
Afib,,,none,,
Afib w,,,none,,
Afib with bradycardia,,,none,,
After-cataract obscuring vision,,,none,,
After-cataract with vision obscured of both eyes,,,none,,
